"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
3.026844447E0;-1.622599959E0;8.344799995E0;-4.818999863E1;4.893408306E1
3.036844447E0;-1.463999987E0;8.393599510E0;-4.837299728E1;4.911764118E1
3.046844447E0;-1.366400003E0;8.405799866E0;-4.848279953E1;4.922505836E1
3.056844447E0;-1.244400024E0;8.356999397E0;-4.850719833E1;4.923754929E1
3.066844447E0;-1.207800031E0;8.295999527E0;-4.851939774E1;4.923834223E1
3.076844447E0;-1.134599924E0;8.320400238E0;-4.869020081E1;4.940902784E1
3.086844447E0;-1.073599935E0;8.259399414E0;-4.877560043E1;4.948160762E1
3.096844447E0;-9.882000089E-1;8.308199883E0;-4.901959991E1;4.972850189E1
3.106844447E0;-9.393999577E-1;8.308199883E0;-4.911719894E1;4.982376832E1
3.116844447E0;-1.036999941E0;8.234999657E0;-4.904399872E1;4.974137512E1
3.126844447E0;-1.061399937E0;8.210599899E0;-4.893420029E1;4.962959277E1
3.136844447E0;-1.110199928E0;8.186200142E0;-4.894639969E1;4.963865892E1
3.146844447E0;-1.073599935E0;8.247200012E0;-4.903179932E1;4.973214523E1
3.156844447E0;-1.061399937E0;8.259399414E0;-4.899519730E1;4.969782296E1
3.166844447E0;-1.085799932E0;8.332599640E0;-4.901959991E1;4.973461927E1
3.176844447E0;-1.146799922E0;8.344799995E0;-4.889759827E1;4.961779875E1
3.186844447E0;-1.171200037E0;8.393599510E0;-4.893420029E1;4.966266384E1
3.196844447E0;-1.232200027E0;8.430199623E0;-4.888539886E1;4.962226118E1
3.206844447E0;-1.293200016E0;8.527799606E0;-4.919039917E1;4.994087607E1
3.216844447E0;-1.317600012E0;8.625399590E0;-4.937339783E1;5.013846827E1
3.226844447E0;-1.390799999E0;8.674200058E0;-4.945879745E1;5.023294454E1
3.236844447E0;-1.476199985E0;8.686399460E0;-4.947100067E1;5.024950357E1
3.246844447E0;-1.573799968E0;8.698599815E0;-4.936119843E1;5.014648936E1
3.256844447E0;-1.622599959E0;8.686399460E0;-4.938559723E1;5.016994698E1
3.266844447E0;-1.488399982E0;8.661999702E0;-4.945879745E1;5.023363633E1
3.276844447E0;-1.415199995E0;8.625399590E0;-4.962960052E1;5.039342772E1
3.286844447E0;-1.366400003E0;8.527799606E0;-4.951979828E1;5.026729391E1
