"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.942426770E-1;4.938040972E-1;1.137245819E-1;9.806650162E0;9.819733355E0
2.962393960E-1;5.081692934E-1;8.978256583E-2;9.816226959E0;9.829781720E0
2.982361150E-1;5.081692934E-1;8.978256583E-2;9.821015358E0;9.834563519E0
3.002328340E-1;5.081692934E-1;7.541735470E-2;9.816226959E0;9.829661008E0
3.022295520E-1;4.938040972E-1;7.541735470E-2;9.816226959E0;9.828928832E0
3.042262710E-1;4.938040972E-1;8.978256583E-2;9.816226959E0;9.829049553E0
3.062229900E-1;4.890156984E-1;9.457096457E-2;9.806650162E0;9.819290576E0
3.082197090E-1;4.985924959E-1;8.978256583E-2;9.830592155E0;9.843637413E0
3.102164270E-1;4.985924959E-1;8.978256583E-2;9.816226959E0;9.829291282E0
3.122131460E-1;5.081692934E-1;8.499415964E-2;9.811438560E0;9.824957337E0
3.142098650E-1;5.081692934E-1;8.978256583E-2;9.840168953E0;9.853690779E0
3.162065840E-1;4.842272997E-1;8.978256583E-2;9.816226959E0;9.828573076E0
3.182033020E-1;4.794389009E-1;9.457096457E-2;9.821015358E0;9.833165716E0
3.202000210E-1;4.890156984E-1;8.020575345E-2;9.821015358E0;9.833509647E0
3.221967400E-1;4.938040972E-1;9.935937077E-2;9.816226959E0;9.829141696E0
3.241934590E-1;4.985924959E-1;1.041477770E-1;9.835380554E0;9.848560904E0
3.261901770E-1;4.985924959E-1;8.978256583E-2;9.821015358E0;9.834073319E0
3.281868960E-1;5.033808947E-1;1.041477770E-1;9.821015358E0;9.834458894E0
3.301836150E-1;4.938040972E-1;8.020575345E-2;9.840168953E0;9.852877776E0
3.321803340E-1;4.890156984E-1;9.457096457E-2;9.830592155E0;9.843201824E0
3.341770520E-1;4.890156984E-1;9.457096457E-2;9.811438560E0;9.824072814E0
3.361737710E-1;4.938040972E-1;8.978256583E-2;9.830592155E0;9.843396036E0
3.381704900E-1;4.890156984E-1;9.457096457E-2;9.835380554E0;9.847984092E0
3.401672090E-1;4.842272997E-1;9.935937077E-2;9.825803757E0;9.838229913E0
3.421639270E-1;4.890156984E-1;8.978256583E-2;9.821015358E0;9.833592422E0
3.441606460E-1;5.081692934E-1;9.457096457E-2;9.816226959E0;9.829826622E0
3.461573650E-1;5.129576921E-1;8.978256583E-2;9.816226959E0;9.830030428E0
3.481540840E-1;4.938040972E-1;9.457096457E-2;9.825803757E0;9.838658731E0
3.501508020E-1;4.985924959E-1;9.935937077E-2;9.811438560E0;9.824601437E0
3.521475210E-1;4.698620737E-1;8.020575345E-2;9.825803757E0;9.837358527E0
3.541442400E-1;5.129576921E-1;8.978256583E-2;9.816226959E0;9.830030428E0
3.561409590E-1;4.985924959E-1;8.499415964E-2;9.825803757E0;9.838812832E0
3.581376770E-1;4.842272997E-1;9.457096457E-2;9.830592155E0;9.842965096E0
3.601343960E-1;5.081692934E-1;9.457096457E-2;9.825803757E0;9.839390183E0
3.621311150E-1;4.890156984E-1;8.978256583E-2;9.821015358E0;9.833592422E0
3.641278340E-1;4.794389009E-1;8.020575345E-2;9.816226959E0;9.828255508E0
3.661245520E-1;5.033808947E-1;8.978256583E-2;9.830592155E0;9.843881113E0
3.681212710E-1;4.985924959E-1;8.499415964E-2;9.825803757E0;9.838812832E0
3.701179900E-1;4.938040972E-1;8.020575345E-2;9.806650162E0;9.819402367E0
3.721147090E-1;4.938040972E-1;7.541735470E-2;9.811438560E0;9.824146624E0
3.741114270E-1;4.985924959E-1;1.089361757E-1;9.825803757E0;9.839048787E0
3.761081460E-1;4.890156984E-1;8.499415964E-2;9.825803757E0;9.838332167E0
3.781048650E-1;5.033808947E-1;9.457096457E-2;9.825803757E0;9.839144041E0
3.801015840E-1;4.890156984E-1;8.978256583E-2;9.821015358E0;9.833592422E0
3.820983020E-1;5.033808947E-1;7.541735470E-2;9.821015358E0;9.834196600E0
3.840950210E-1;4.985924959E-1;9.457096457E-2;9.821015358E0;9.834118202E0
3.860917400E-1;4.985924959E-1;1.041477770E-1;9.816226959E0;9.829432992E0
3.880884590E-1;4.698620737E-1;8.978256583E-2;9.825803757E0;9.837441270E0
3.900851770E-1;4.842272997E-1;8.978256583E-2;9.825803757E0;9.838137855E0
3.920818960E-1;4.890156984E-1;8.978256583E-2;9.806650162E0;9.819245626E0
3.940786150E-1;5.033808947E-1;8.978256583E-2;9.835380554E0;9.848663050E0
3.960753340E-1;4.938040972E-1;8.499415964E-2;9.835380554E0;9.848135719E0
3.980720520E-1;4.842272997E-1;7.062894851E-2;9.825803757E0;9.837981703E0
4.000687710E-1;4.938040972E-1;9.935937077E-2;9.825803757E0;9.838705923E0
4.020654900E-1;5.033808947E-1;1.089361757E-1;9.821015358E0;9.834510770E0
4.040622090E-1;4.985924959E-1;8.020575345E-2;9.830592155E0;9.843554722E0
4.060589270E-1;4.985924959E-1;9.935937077E-2;9.797073364E0;9.810255515E0
4.080556460E-1;4.938040972E-1;9.935937077E-2;9.821015358E0;9.833923807E0
4.100523650E-1;4.938040972E-1;8.978256583E-2;9.821015358E0;9.833831708E0
4.120490840E-1;4.938040972E-1;9.935937077E-2;9.806650162E0;9.819577494E0
4.140458020E-1;5.033808947E-1;8.978256583E-2;9.830592155E0;9.843881113E0
4.160425210E-1;4.938040972E-1;7.541735470E-2;9.821015358E0;9.833711045E0
4.180392400E-1;4.938040972E-1;8.978256583E-2;9.825803757E0;9.838613869E0
4.200359590E-1;5.033808947E-1;9.935937077E-2;9.825803757E0;9.839191231E0
4.220326770E-1;4.985924959E-1;9.457096457E-2;9.821015358E0;9.834118202E0
4.240293960E-1;5.033808947E-1;8.978256583E-2;9.821015358E0;9.834317256E0
4.260261150E-1;4.842272997E-1;8.499415964E-2;9.830592155E0;9.842877740E0
4.280228860E-1;4.985924959E-1;7.541735470E-2;9.821015358E0;9.833952660E0
4.300196570E-1;4.938040972E-1;8.020575345E-2;9.811438560E0;9.824184550E0
4.320164270E-1;4.842272997E-1;8.499415964E-2;9.816226959E0;9.828530501E0
4.340131980E-1;4.842272997E-1;8.978256583E-2;9.825803757E0;9.838137855E0
4.360099690E-1;4.842272997E-1;8.499415964E-2;9.825803757E0;9.838095321E0
4.380067400E-1;4.890156984E-1;8.978256583E-2;9.825803757E0;9.838374700E0
4.400035110E-1;4.890156984E-1;9.935937077E-2;9.835380554E0;9.848031239E0
4.420002820E-1;4.938040972E-1;8.978256583E-2;9.835380554E0;9.848178209E0
4.439970520E-1;4.985924959E-1;8.020575345E-2;9.816226959E0;9.829208470E0
4.459938230E-1;5.033808947E-1;8.020575345E-2;9.825803757E0;9.839016453E0
4.479905940E-1;4.985924959E-1;9.935937077E-2;9.821015358E0;9.834165416E0
4.499873650E-1;5.081692934E-1;8.020575345E-2;9.821015358E0;9.834480752E0
4.519841360E-1;4.890156984E-1;9.935937077E-2;9.797073364E0;9.809773450E0
4.539809070E-1;5.129576921E-1;9.935937077E-2;9.801861763E0;9.815777702E0
4.559776770E-1;4.985924959E-1;8.978256583E-2;9.811438560E0;9.824509250E0
4.579744480E-1;4.985924959E-1;9.457096457E-2;9.816226959E0;9.829336186E0
4.599712190E-1;4.842272997E-1;8.978256583E-2;9.844957352E0;9.857267484E0
4.619679900E-1;4.985924959E-1;8.499415964E-2;9.821015358E0;9.834030768E0
4.639647610E-1;4.938040972E-1;9.935937077E-2;9.816226959E0;9.829141696E0
