"Pos_1_1";"B_1_1";"Pos_1_2";"B_1_2";"Pos_1_3";"B_1_3";"Pos_05_1";"B_2_1";"Pos_05_2";"B_2_2";"Pos_05_3";"B_2_3"
0,3081;8,6095E-4;0,1698;0,0031;0,2325;0,0021;0,2605;6,5656E-4;0,2660;5,7049E-4;0,3499;3,4072E-5
0,3090;8,4411E-4;0,1701;0,0031;0,2331;0,0021;0,2617;6,3778E-4;0,2670;5,5310E-4;0,3509;2,8506E-5
0,3100;8,2716E-4;0,1705;0,0031;0,2338;0,0020;0,2628;6,2556E-4;0,2681;5,3786E-4;0,3521;3,0068E-5
0,3110;8,0948E-4;0,1708;0,0031;0,2345;0,0020;0,2639;6,0683E-4;0,2692;5,2738E-4;0,3534;2,4746E-5
0,3121;7,8526E-4;0,1711;0,0031;0,2353;0,0020;0,2650;5,9507E-4;0,2702;5,1648E-4;0,3547;2,3660E-5
0,3133;7,6999E-4;0,1713;0,0031;0,2360;0,0019;0,2660;5,7840E-4;0,2712;5,0189E-4;0,3560;2,1475E-5
0,3145;7,4719E-4;0,1715;0,0032;0,2366;0,0019;0,2670;5,7219E-4;0,2722;4,9435E-4;0,3573;2,1475E-5
0,3158;7,2876E-4;0,1718;0,0032;0,2373;0,0019;0,2677;5,6193E-4;0,2732;4,8469E-4;0,3585;1,8350E-5
0,3171;7,0745E-4;0,1722;0,0032;0,2378;0,0019;0,2684;5,5192E-4;0,2742;4,6804E-4;0,3596;1,7275E-5
0,3184;6,8661E-4;0,1726;0,0032;0,2383;0,0018;0,2691;5,4459E-4;0,2753;4,5764E-4;0,3608;1,4260E-5
0,3197;6,6652E-4;0,1730;0,0032;0,2390;0,0018;0,2699;5,3582E-4;0,2763;4,4956E-4;0,3621;1,2173E-5
0,3209;6,5064E-4;0,1734;0,0032;0,2396;0,0018;0,2708;5,2324E-4;0,2774;4,3576E-4;0,3633;8,3154E-6
0,3222;6,3395E-4;0,1739;0,0032;0,2401;0,0018;0,2719;5,1382E-4;0,2785;4,2409E-4;0,3645;7,9980E-6
0,3233;6,1706E-4;0,1743;0,0032;0,2407;0,0017;0,2730;4,9802E-4;0,2797;4,1388E-4;0,3657;5,6787E-6
0,3244;6,0182E-4;0,1746;0,0033;0,2412;0,0017;0,2742;4,8781E-4;0,2809;4,0023E-4;0,3669;5,7153E-6
0,3255;5,8704E-4;0,1750;0,0033;0,2416;0,0017;0,2755;4,7493E-4;0,2821;3,8903E-4;0,3682;4,7388E-6
0,3266;5,7653E-4;0,1754;0,0033;0,2421;0,0017;0,2769;4,6231E-4;0,2835;3,7965E-4;0,3696;4,4214E-6
0,3278;5,6031E-4;0,1758;0,0033;0,2425;0,0017;0,2783;4,4634E-4;0,2849;3,6394E-4;0,3711;-2,9053E-7
